IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.66.176.115,4,4,0.00,102.83,10.34
162.159.44.110,4,4,0.00,102.62,10.31
172.66.177.127,4,4,0.00,102.93,10.23
172.66.210.145,4,4,0.00,102.16,10.22
172.66.212.58,4,4,0.00,102.55,10.10
172.66.199.62,4,4,0.00,103.04,9.93
104.20.8.6,4,4,0.00,55.83,9.92
172.66.200.178,4,4,0.00,102.11,9.91
104.25.145.28,4,4,0.00,55.76,9.85
172.66.217.107,4,4,0.00,102.17,9.83
104.24.142.223,4,4,0.00,55.72,9.79
172.67.92.128,4,4,0.00,55.79,9.78
172.66.202.217,4,4,0.00,102.28,9.78
104.27.84.20,4,4,0.00,55.79,9.76
172.66.207.190,4,4,0.00,102.29,9.75
104.25.21.173,4,4,0.00,55.80,9.74
104.27.89.116,4,4,0.00,55.80,9.74
104.25.143.121,4,4,0.00,55.78,9.72
104.25.41.147,4,4,0.00,55.78,9.72
104.20.2.88,4,4,0.00,55.79,9.71
104.20.0.159,4,4,0.00,55.83,9.71
104.25.84.120,4,4,0.00,55.83,9.71
172.67.113.220,4,4,0.00,55.80,9.70
104.27.103.250,4,4,0.00,55.80,9.69
104.27.13.91,4,4,0.00,55.71,9.68
104.24.230.67,4,4,0.00,55.80,9.68
104.21.105.7,4,4,0.00,55.84,9.68
104.27.76.100,4,4,0.00,55.80,9.67
172.67.173.16,4,4,0.00,55.79,9.65
104.27.0.153,4,4,0.00,55.74,9.65
104.27.60.92,4,4,0.00,55.84,9.64
104.24.135.34,4,4,0.00,55.84,9.63
104.21.111.22,4,4,0.00,55.84,9.62
104.27.120.86,4,4,0.00,55.83,9.62
172.66.141.31,4,4,0.00,90.67,9.62
104.26.1.151,4,4,0.00,55.80,9.61
104.25.117.228,4,4,0.00,55.82,9.55
162.159.237.220,4,4,0.00,90.69,9.54
104.25.76.237,4,4,0.00,55.83,9.54
104.26.3.227,4,4,0.00,55.79,9.53
172.66.134.55,4,4,0.00,89.63,9.45
172.66.137.59,4,4,0.00,90.43,9.35
198.41.219.191,4,4,0.00,90.25,9.35
172.66.140.237,4,4,0.00,89.56,9.34
198.41.218.109,4,4,0.00,90.64,9.32
172.66.130.11,4,4,0.00,89.45,9.30
162.159.234.217,4,4,0.00,92.01,9.20
172.64.79.190,4,4,0.00,89.46,9.17
172.66.203.71,4,4,0.00,102.27,9.16
172.66.143.217,4,4,0.00,90.92,9.10
172.66.133.209,4,4,0.00,90.12,8.97
172.66.128.178,4,4,0.00,90.58,8.90
172.66.135.170,4,4,0.00,89.44,8.87
172.64.72.53,4,4,0.00,89.90,7.86
172.66.129.166,4,4,0.00,90.61,7.86
172.66.136.40,4,4,0.00,89.40,7.83
172.64.234.224,4,4,0.00,90.54,7.78
172.66.139.66,4,4,0.00,90.17,7.77
172.66.132.139,4,4,0.00,91.05,7.75
172.66.142.120,4,4,0.00,90.02,7.57
172.66.138.159,4,4,0.00,90.50,7.22
172.66.131.181,4,4,0.00,90.08,7.21
103.31.4.147,4,4,0.00,101.71,7.09
172.66.208.44,4,4,0.00,102.02,7.07
172.66.196.164,4,4,0.00,102.17,7.06
172.66.204.77,4,4,0.00,101.44,7.06
172.66.192.204,4,4,0.00,101.74,7.06
162.159.38.43,4,4,0.00,103.01,7.02
172.66.195.138,4,4,0.00,101.78,6.99
172.66.214.185,4,4,0.00,102.17,6.98
172.66.198.23,4,4,0.00,102.26,6.97
162.159.45.168,4,4,0.00,101.09,6.97
172.66.206.133,4,4,0.00,102.60,6.96
172.66.216.149,4,4,0.00,101.09,6.95
172.66.215.114,4,4,0.00,102.20,6.95
172.66.197.73,4,4,0.00,102.27,6.94
172.66.205.151,4,4,0.00,102.55,6.93
172.66.193.84,4,4,0.00,101.73,6.92
162.159.39.74,4,4,0.00,101.69,6.92
172.66.209.221,4,4,0.00,102.23,6.91
172.66.211.44,4,4,0.00,102.80,6.84
104.27.22.109,4,4,0.00,55.84,6.34
